id,st_mass,pl_dens,pl_insol,st_met,planet_name,pl_eqt,size,st_rad,pl_orbper,pl_orbsmax,st_teff,pl_orbeccen,color,label
13897,1.08,1.3,1.86,-0.26,,298.0,10.8,1.03,308.5471,0.9191,6363.0,0.0,#6384eb,Planet 13897
13899,1.08,1.3,1.86,-0.26,,298.0,10.8,1.03,308.5471,0.9191,6363.0,0.0,#6384eb,Planet 13899
13901,1.08,1.3,1.86,-0.26,,298.0,10.8,1.03,308.5471,0.9191,6363.0,0.0,#6384eb,Planet 13901
13919,0.62,1.3,0.18,-0.26,,166.0,6.2,0.63,364.758031,0.8507,4386.0,0.0,#6384eb,Planet 13919
13920,0.62,1.3,0.18,-0.26,,166.0,6.2,0.63,364.758031,0.8507,4386.0,0.0,#6384eb,Planet 13920
13922,0.62,1.3,0.18,-0.26,,166.0,6.2,0.63,364.751562,0.8507,4386.0,0.0,#6384eb,Planet 13922
13923,0.62,1.3,0.18,-0.26,,166.0,6.2,0.63,364.758031,0.8507,4386.0,0.0,#6384eb,Planet 13923
14071,0.74,1.3,0.82,-0.08,,269.0,7.4,0.71,168.8116,0.5421,4820.0,0.0,#6384eb,Planet 14071
14144,1.03,1.3,2.24,-0.26,,312.0,10.3,0.96,225.582809,0.7333,6184.0,0.0,#6384eb,Planet 14144
14147,1.03,1.3,2.24,-0.26,,312.0,10.3,0.96,225.582809,0.7333,6184.0,0.0,#6384eb,Planet 14147
14149,1.03,1.3,2.24,-0.26,,312.0,10.3,0.96,225.582809,0.7333,6184.0,0.0,#6384eb,Planet 14149
14164,0.71,1.3,0.94,-0.54,,251.0,7.1,0.68,184.771853,0.568,5220.0,0.0,#6384eb,Planet 14164
14165,0.71,1.3,0.94,-0.54,,251.0,7.1,0.68,184.771853,0.568,5220.0,0.0,#6384eb,Planet 14165
14167,0.71,1.3,0.94,-0.54,,251.0,7.1,0.68,184.771853,0.568,5220.0,0.0,#6384eb,Planet 14167
14178,0.83,1.3,1.19,-0.28,,266.0,8.299999999999999,0.76,198.088774,0.6259,5462.0,0.0,#6384eb,Planet 14178
14179,0.83,1.3,1.19,-0.28,,266.0,8.299999999999999,0.76,198.088774,0.6259,5462.0,0.0,#6384eb,Planet 14179
14183,0.83,1.3,1.19,-0.28,,266.0,8.299999999999999,0.76,198.088774,0.6259,5462.0,0.0,#6384eb,Planet 14183
14184,0.72,1.3,1.1,-0.46,,795.0,7.199999999999999,0.79,198.088774,0.59527,5121.0,0.0,#6384eb,Planet 14184
14627,0.72,1.3,0.71,-0.1,,260.0,7.199999999999999,0.7,174.5085,0.546,4745.0,0.0,#6384eb,Planet 14627
14708,0.93,1.3,0.47,0.18,,211.0,9.3,0.83,386.370548,1.0144,5303.0,0.0,#6384eb,Planet 14708
14712,0.93,1.3,0.47,0.18,,211.0,9.3,0.83,386.370548,1.0144,5303.0,0.0,#6384eb,Planet 14712
14713,0.82,1.3,0.45,0.1,,209.0,8.2,0.83,386.370512,0.9712,5119.0,0.0,#6384eb,Planet 14713
14988,0.86,1.3,0.97,-0.26,,253.0,8.6,0.84,287.378949,0.811,5645.0,0.0,#6384eb,Planet 14988
14990,0.86,1.3,0.97,-0.26,,253.0,8.6,0.84,287.378949,0.811,5645.0,0.0,#6384eb,Planet 14990
15038,0.72,1.3,0.26,-0.2,,182.0,7.199999999999999,0.76,509.997402,1.1218,5037.0,0.0,#6384eb,Planet 15038
15039,0.72,1.3,0.26,-0.2,,182.0,7.199999999999999,0.76,509.997402,1.1218,5037.0,0.0,#6384eb,Planet 15039
15048,0.82,1.3,4.4,-0.76,,369.0,8.2,1.29,224.150923,0.6762,6072.0,0.0,#6384eb,Planet 15048
15057,1.01,1.3,3.01,-0.5,,336.0,10.1,0.92,186.404271,0.6407,6351.0,0.0,#6384eb,Planet 15057
15061,1.01,1.3,3.01,-0.5,,336.0,10.1,0.92,186.404271,0.6407,6351.0,0.0,#6384eb,Planet 15061
15068,0.85,1.3,0.37,-0.28,,200.0,8.5,0.76,469.61309,1.117,5474.0,0.0,#6384eb,Planet 15068
15070,0.83,1.3,0.39,-0.28,,202.0,8.299999999999999,0.78,469.63111,1.1123,5484.0,0.0,#6384eb,Planet 15070
15073,0.83,1.3,0.39,-0.28,,202.0,8.299999999999999,0.78,469.63111,1.1123,5484.0,0.0,#6384eb,Planet 15073
15078,1.13,1.3,0.89,0.21,,248.0,11.299999999999999,1.02,425.483539,1.1546,5977.0,0.0,#6384eb,Planet 15078
15080,1.13,1.3,0.89,0.21,,248.0,11.299999999999999,1.02,425.47785,1.1546,5977.0,0.0,#6384eb,Planet 15080
15081,1.13,1.3,0.89,0.21,,248.0,11.299999999999999,1.02,425.47785,1.1546,5977.0,0.0,#6384eb,Planet 15081
15089,0.77,1.3,1.47,-0.76,,281.0,7.7,0.85,259.33683,0.7307,5906.0,0.0,#6384eb,Planet 15089
15092,0.77,1.3,1.47,-0.76,,281.0,7.7,0.85,259.33683,0.7307,5906.0,0.0,#6384eb,Planet 15092
15278,1.01,1.2,0.3,-0.088,,206.0,10.1,1.18,1047.8356,2.026,5597.0,0.26,#5f7fe8,Planet 15278
15347,0.84,1.6,0.88,-0.12,,243.0,8.4,0.76,175.06,0.633,5100.0,0.057,#6c8ff1,Planet 15347
15469,0.77,1.3,0.1,0.07,,144.0,7.7,0.81,1071.2319346,1.881,4978.0,0.0,#6384eb,Planet 15469
15471,0.78,1.3,0.1,0.03,,795.0,7.800000000000001,0.74,1071.2319346,1.88757,4868.0,0.0,#6384eb,Planet 15471
15472,0.77,1.3,0.1,0.07,,144.0,7.7,0.81,1071.2319346,1.881,4978.0,0.0,#6384eb,Planet 15472
15473,0.77,1.3,0.07,-0.03,,131.0,7.7,0.73,1071.23228,1.89,4890.0,0.062,#6384eb,Planet 15473
15476,0.78,1.3,0.07,-0.02,,129.0,7.800000000000001,0.69,1071.232624,1.86,4799.0,0.0,#6384eb,Planet 15476
15724,0.88,1.3,1.31,-0.3,,273.0,8.8,0.83,234.635379,0.7143,5735.0,0.0,#6384eb,Planet 15724
15728,0.87,1.3,1.2,0.0,,267.0,8.7,0.89,234.635652,0.7097,5422.0,0.0,#6384eb,Planet 15728
15729,0.88,1.3,1.31,-0.3,,273.0,8.8,0.83,234.635379,0.7143,5735.0,0.0,#6384eb,Planet 15729
15730,0.88,1.3,1.31,-0.3,,273.0,8.8,0.83,234.635379,0.7143,5735.0,0.0,#6384eb,Planet 15730
15867,1.13,4.07,0.34,0.196,,254.0,11.299999999999999,1.7,988.88112,2.027,5746.0,0.92,#c3d5f4,Planet 15867
15869,1.1,1.3,0.58,0.24,,223.0,11.0,1.55,988.8811177,2.0091,5755.0,0.0,#6384eb,Planet 15869
15870,1.1,1.3,0.58,0.24,,223.0,11.0,1.55,988.8811177,2.0091,5755.0,0.0,#6384eb,Planet 15870
16265,0.64,1.3,0.48,-0.52,,212.0,6.4,0.65,247.354914,0.6639,4859.0,0.0,#6384eb,Planet 16265
16328,0.87,1.3,1.21,-0.5,,268.0,8.7,0.9,321.2125073,0.8767,5982.0,0.0,#6384eb,Planet 16328
16329,0.87,1.3,1.21,-0.5,,268.0,8.7,0.9,321.2125073,0.8767,5982.0,0.0,#6384eb,Planet 16329
16330,0.87,1.3,1.21,-0.5,,268.0,8.7,0.9,321.2125073,0.8767,5982.0,0.0,#6384eb,Planet 16330
16384,0.85,1.3,1.84,-0.3,,297.0,8.5,0.9,205.912082,0.6469,5717.0,0.0,#6384eb,Planet 16384
16385,0.85,1.3,1.84,-0.3,,297.0,8.5,0.9,205.912082,0.6469,5717.0,0.0,#6384eb,Planet 16385
16388,0.85,1.3,1.84,-0.3,,297.0,8.5,0.9,205.912082,0.6469,5717.0,0.0,#6384eb,Planet 16388
17673,0.54,1.3,0.25,-0.009,,795.0,5.4,0.55,129.94188177,0.1006,3876.0,0.0,#6384eb,Planet 17673
17676,0.48,1.3,0.32,-0.28,,795.0,5.0,0.47,129.9459,0.356,3788.0,0.0,#6384eb,Planet 17676
17682,0.54,1.3,0.3,-0.26,,795.0,5.4,0.52,129.9441,0.432,3755.0,0.04,#6384eb,Planet 17682
17747,0.68,1.3,0.48,-0.2,,212.0,6.800000000000001,0.66,211.0338741,0.6108,4628.0,0.0,#6384eb,Planet 17747
17748,0.68,1.3,0.48,-0.2,,212.0,6.800000000000001,0.66,211.0338741,0.6108,4628.0,0.0,#6384eb,Planet 17748
17751,0.74,1.3,0.5,0.0,,215.0,7.4,0.69,211.032819,0.6266,4658.0,0.0,#6384eb,Planet 17751
17755,0.68,1.3,0.48,-0.2,,212.0,6.800000000000001,0.66,211.0338741,0.6108,4628.0,0.0,#6384eb,Planet 17755
18929,1.04,1.3,1.26,-0.08,,270.0,10.4,1.18,453.543999,1.1712,6109.0,0.0,#6384eb,Planet 18929
18931,1.04,1.3,1.26,-0.08,,270.0,10.4,1.18,453.543999,1.1712,6109.0,0.0,#6384eb,Planet 18931
19859,0.97,1.3,1.21,-0.27,,267.0,9.7,0.98,289.864456,0.8489,5642.0,0.0,#6384eb,Planet 19859
19861,0.86,5.2,1.01,-0.255,,279.0,8.6,0.87,289.863876,0.812,5596.0,0.72,#e2dad5,Planet 19861
19863,0.97,1.3,1.21,-0.27,,267.0,9.7,0.98,289.864456,0.8489,5642.0,0.0,#6384eb,Planet 19863
19865,0.8,1.3,1.03,-0.26,,257.0,8.0,0.89,289.864067,0.7961,5516.0,0.0,#6384eb,Planet 19865
19866,0.97,1.3,1.21,-0.27,,267.0,9.7,0.98,289.864456,0.8489,5642.0,0.0,#6384eb,Planet 19866
23107,0.75,1.3,0.4,0.26,,795.0,7.5,0.77,105.35789935,0.1006,4714.0,0.0,#6384eb,Planet 23107
23294,0.88,1.3,1.7,-0.26,,291.0,8.8,1.0,265.47847,0.7733,5792.0,0.0,#6384eb,Planet 23294
23298,0.82,1.3,1.24,-0.4,,269.0,8.2,0.86,265.467621,0.7584,5724.0,0.0,#6384eb,Planet 23298
23299,0.82,1.3,1.24,-0.4,,269.0,8.2,0.86,265.467621,0.7584,5724.0,0.0,#6384eb,Planet 23299
23303,0.82,1.3,1.24,-0.4,,269.0,8.2,0.86,265.467621,0.7584,5724.0,0.0,#6384eb,Planet 23303
26302,0.75,1.3,0.24,-0.26,,178.0,7.5,0.82,704.962626,1.4108,5305.0,0.0,#6384eb,Planet 26302
26305,0.75,1.3,0.24,-0.26,,178.0,7.5,0.82,704.962626,1.4108,5305.0,0.0,#6384eb,Planet 26305
26308,0.78,1.3,0.2,-0.23,,795.0,7.800000000000001,0.83,704.962626,1.42608,5224.0,0.0,#6384eb,Planet 26308
26564,0.86,1.3,1.54,-0.3,,284.0,8.6,0.78,178.140456,0.5886,5592.0,0.0,#6384eb,Planet 26564
26567,0.86,1.3,1.54,-0.3,,284.0,8.6,0.78,178.140456,0.5886,5592.0,0.0,#6384eb,Planet 26567
26574,0.86,1.3,1.54,-0.3,,284.0,8.6,0.78,178.140456,0.5886,5592.0,0.0,#6384eb,Planet 26574
