source,target,weight,distance
596,17673,0.004901178193685305,204.03
596,37823,0.002651178178771302,377.19
596,38048,0.00047065953315242456,2124.68
708,38048,0.0004844620682536928,2064.15
1697,2406,0.0022868570495328043,437.28
1697,15278,0.00261507503296582,382.4
1697,38048,0.0009357941407450125,1068.61
1918,2667,0.002384871692874734,419.31
1918,7145,0.0029450832069201865,339.55
1918,8253,0.0026327472954595704,379.83
1918,13707,0.0028208186874109044,354.51
1918,14178,0.00251924157747702,396.94
1918,14708,0.002403756611040287,416.02
1918,14988,0.004203437992516455,237.9
1918,15068,0.00428626647507419,233.3
1918,15078,0.0033489518456871676,298.6
1918,15089,0.002969213720775314,336.79
1918,15724,0.00346338075296932,288.74
1918,16328,0.0028561858705016753,350.12
1918,16384,0.0031514396581549782,317.32
1918,18929,0.002378417812674467,420.45
1918,19859,0.004234208117141837,236.17
1918,23294,0.0036402991283736937,274.7
1918,26302,0.0022818399484655673,438.24
1918,26564,0.002795447284586846,357.72
1918,26834,0.00548228398772609,182.41
1918,27622,0.003432929067014089,291.3
1918,28330,0.004168528268687302,239.89
1918,30302,0.003512354541600082,284.71
1918,32466,0.0032950316955556473,303.49
1918,32738,0.0033129804084911113,301.84
1918,35048,0.004172893047125496,239.64
1918,35747,0.0036472963671827802,274.18
1918,36078,0.003111572038086019,321.38
1918,38047,0.005599494251906839,178.59
1918,38048,0.005582245038612908,179.14
2406,15278,0.0029096931599054536,343.68
2406,15469,0.002932111972457363,341.05
2406,38048,0.0010251860918259882,975.43
2667,7988,0.009361408068201026,106.82
2667,14164,0.0060903733097487246,164.19
2667,14178,0.006980751024952264,143.25
2667,14708,0.007670963231268739,130.36
2667,14988,0.0033549218364873072,298.07
2667,15038,0.0025236718114524993,396.25
2667,15068,0.00421028361807209,237.51
2667,15347,0.0036613313414992,273.12
2667,15724,0.002562998859033391,390.17
2667,16384,0.0026479453172450615,377.65
2667,19859,0.003398305306590576,294.26
2667,23294,0.0022493298537915652,444.58
2667,26302,0.002299856586249925,434.81
2667,26564,0.003758796861598463,266.04
2667,26834,0.003879771951940816,257.75
2667,28330,0.004742463823933663,210.86
2667,30302,0.0034237264869702755,292.08
2667,30544,0.014522284926375084,68.86
2667,35048,0.002650671804218276,377.26
2667,35747,0.002818796447696031,354.76
2667,36078,0.007000910123484312,142.84
2667,38047,0.002284442702640167,437.74
2667,38048,0.0022844226678701363,437.75
3726,38048,0.0005516226480903816,1812.83
3843,38048,0.000323817662560573,3088.16
5858,5871,0.005568483244919918,179.58
5858,6332,0.003938171668896096,253.92
5858,6342,0.006659226114489416,150.17
5858,8451,0.0029761462596426713,336.0
5858,13653,0.0032590926729084,306.83
5858,13897,0.007429663306850983,134.6
5858,14144,0.0037618423196994007,265.83
5858,15048,0.002857369285409349,349.97
5858,15057,0.003903883162943765,256.16
5858,15078,0.0027155753597123584,368.25
5858,16328,0.002634658256610117,379.56
5858,18929,0.00426522729985492,234.45
5858,32466,0.0025216857264413546,396.56
5858,32738,0.002654319125523573,376.74
5858,38048,0.001762458652390027,567.39
5871,6332,0.0027021297883195825,370.08
5871,6342,0.004118376719413816,242.81
5871,8451,0.002539345480165823,393.8
5871,13653,0.0026023993956736423,384.26
5871,13897,0.0033420355838477927,299.22
5871,14144,0.0028359718064947977,352.61
5871,15048,0.0025317354536394136,394.99
5871,15057,0.002426869046103057,412.05
5871,15078,0.003453724808469139,289.54
5871,16328,0.00285555600391145,350.19
5871,18929,0.0059926138844554975,166.87
5871,32466,0.002916317926139341,342.9
5871,32738,0.004254257970257927,235.06
5871,38048,0.002022771076017714,494.37
6221,38048,0.0018820575826099905,531.33
6332,6342,0.007681706245080933,130.18
6332,7145,0.002291843333485155,436.33
6332,8253,0.0030816175725007,324.5
6332,8451,0.007299077959437966,137.0
6332,13653,0.009568088725707547,104.51
6332,13707,0.002998697074330605,333.48
6332,13897,0.006078054797325673,164.53
6332,14144,0.015846392414252366,63.11
6332,15048,0.005920872082109574,168.89
6332,15057,0.008645250442032881,115.67
6332,15078,0.002851914558316231,350.64
6332,15089,0.002933545641173881,340.88
6332,16328,0.0034688888586731138,288.28
6332,18929,0.003520027041857553,284.09
6332,27622,0.0026183102526355674,381.93
6332,32466,0.002919828182801728,342.49
6332,38048,0.002049532876481372,487.92
6342,8253,0.002888272413664719,346.23
6342,8451,0.005345187047776089,187.08
6342,13653,0.005713576629597431,175.02
6342,13707,0.0029453299908115027,339.52
6342,13897,0.007861223675966875,127.21
6342,14144,0.008299629358747368,120.49
6342,15048,0.0047200885838418185,211.86
6342,15057,0.005292426050387036,188.95
6342,15078,0.0035587164715334694,281.0
6342,15089,0.002941297845177244,339.99
6342,16328,0.003884578690431837,257.43
6342,18929,0.005586636142174127,179.0
6342,27622,0.0026619016145290396,375.67
6342,32466,0.0033001056136414395,303.02
6342,32738,0.0028760003914735563,347.71
6342,38048,0.002168066090056565,461.24
7145,8253,0.007983324006146694,125.26
7145,8451,0.0033097489581712133,302.14
